# SRH vs RCB - Match 1
# 2026-03-28
#
# id, name, ipl_team, fantasy_team, playing, mom, runs, 4s, 6s, wkts, dots, maidens, lbw_b_hw, catches, ro_direct, ro_indirect, stumpings

# --- SRH ---
54, Travis Head, SRH, Ragu, 1, 0, 11, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0
233, Kamindu Mendis, SRH, RK, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
60, Harshal Patel, SRH, Darshan, 1, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0
123, Liam Livingstone, SRH, Darshan, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
59, Pat Cummins, SRH, Dots, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
232, Aniket Verma, SRH, Dots, 1, 0, 43, 3, 4, 0, 0, 0, 0, 0, 0, 0, 0
57, Ishan Kishan, SRH, JD, 1, 0, 80, 8, 5, 0, 0, 0, 0, 0, 0, 0, 0
58, Heinrich Klaasen, SRH, JD, 1, 0, 31, 2, 1, 0, 0, 0, 0, 2, 0, 0, 0
239, Zeeshan Ansari, SRH, Rijo, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
55, Abhishek Sharma, SRH, Prakash, 1, 0, 7, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0

# --- RCB ---
45, Philip Salt, RCB, Ragu, 1, 0, 8, 2, 0, 0, 0, 0, 0, 3, 0, 0, 0
112, Krunal Pandya, RCB, Ragu, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0
116, Suyash Sharma, RCB, Ragu, 1, 0, 0, 0, 0, 1, 6, 0, 0, 1, 0, 0, 0
42, Rajat Patidar, RCB, RK, 1, 0, 31, 2, 3, 0, 0, 0, 0, 0, 0, 0, 0
113, Venkatesh Iyer, RCB, RK, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
46, Josh Hazlewood, RCB, Darshan, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
111, Jacob Bethell, RCB, Darshan, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
43, Tim David, RCB, JD, 1, 0, 16, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0
47, Bhuvneshwar Kumar, RCB, JD, 1, 0, 0, 0, 0, 1, 9, 0, 0, 0, 0, 0, 0
110, Devdutt Padikkal, RCB, JD, 1, 0, 61, 7, 4, 0, 0, 0, 0, 3, 0, 0, 0
44, Virat Kohli, RCB, Prakash, 1, 0, 69, 5, 5, 0, 0, 0, 0, 1, 0, 0, 0
115, Jitesh Sharma, RCB, Prakash, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
214, Rasikh Salam Dar, RCB, Prakash, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0

